payDate,total,id,currency_amount,volDate,monthly_growth_%,outflow_intensity
2003-10-31,357457.0,9,441106,2003-10-31,1.6605170303825023,0.810365309018694
2003-12-31,0.0,11,502254,2003-12-31,10.217866453657297,0.0
2004-03-31,0.0,14,465785,2004-03-31,0.15352494565346042,0.0
2004-04-30,0.0,15,460251,2004-04-30,-1.1881018066275173,0.0
2004-05-31,0.0,16,454227,2004-05-31,-1.3088510399760112,0.0
2004-06-30,0.0,17,455926,2004-06-30,0.374042053862933,0.0
2004-08-31,0.0,19,450252,2004-08-31,-1.2841228741375388,0.0
2004-09-30,0.0,20,457481,2004-09-30,1.6055453390545704,0.0
2004-11-30,0.0,22,492455,2004-11-30,4.920530083517982,0.0
2004-12-31,0.0,23,545803,2004-12-31,10.833071042024134,0.0
2005-01-31,116.0,24,522328,2005-01-31,-4.301002376315266,0.0002220826760196658
2005-02-28,0.0,25,502510,2005-02-28,-3.794167649446323,0.0
2005-03-31,0.0,26,512839,2005-03-31,2.0554814829555568,0.0
2005-06-30,0.0,28,494919,2005-06-30,-1.7869758138131964,0.0
2005-08-31,0.0,30,512791,2005-08-31,2.1174610381593073,0.0
2005-09-30,0.0,31,513591,2005-09-30,0.1560089783167129,0.0
2005-10-31,0.0,32,534451,2005-10-31,4.06159765260683,0.0
2005-11-30,0.0,33,550262,2005-11-30,2.958362880787946,0.0
2006-01-31,0.0,35,579094,2006-01-31,-9.851239772345167,0.0
2006-02-28,0.0,36,576020,2006-02-28,-0.5308291918065144,0.0
2006-03-31,0.0,37,621234,2006-03-31,7.849380229853131,0.0
2006-05-31,791386922.18,39,608185,2006-05-31,-0.9194743161369034,1301.2272946225244
2006-06-30,756692024.13,40,597677,2006-06-30,-1.7277637560939474,1266.0551169444366
2006-07-31,149585622.94,41,604574,2006-07-31,1.153967778582743,247.42318217455596
2006-08-31,0.0,42,611616,2006-08-31,1.1647871062930193,0.0
2006-11-30,3832973565.5,45,679626,2006-11-30,4.970298681279983,5639.827736872927
2006-12-31,588536146.28,46,779254,2006-12-31,14.659239052066875,755.255855318035
2007-01-31,1958224173.02,47,705163,2007-01-31,-9.507939644839814,2776.980886716972
2007-02-28,2010520019.17,48,704584,2007-02-28,-0.08210867558280377,2853.485204276566
2007-04-30,1266346596.04,50,766011,2007-04-30,4.899388415220329,1653.1702495656068
2007-05-31,1648394670.3999999,51,746597,2007-05-31,-2.534428356772944,2207.8774364215233
2007-07-31,1422624977.22,53,713956,2007-07-31,-0.46064188718177856,1992.5947498445282
2007-08-31,1504106193.19,54,718947,2007-08-31,0.6990626873364825,2092.0960699328325
2007-10-31,814573056.3000001,56,755358,2007-10-31,4.617033829994099,1078.393366191925
2007-11-30,1741076617.31,57,786667,2007-11-30,4.144922010490393,2213.2320502957414
